turker,adjective,mean,onestdev,had_negative,logrespdev
T_8820227,slight,10140,380,noNog,-3.23212105161888
T_8765075,usual,670,5,noNog,2.2204460492503099e-16
T_8678864,fine,7850,260,noNog,-0.9555114450284359
T_9031208,acceptable,4470,270,noNog,-0.7308875085437919
T_1138011,remarkable,4740,230,noNog,0.693147180559945
T_901679,modest,8730,165,noNog,-0.318453731118159
T_5478886,bearish,860,220,noNog,0.24116205681903102
T_8694327,conventional,9740,395,noNog,-0.418204133885998
T_1231887,conventional,5220,315,noNog,-0.559615787934672
T_6445353,reasonable,2570,340,noNog,-0.0298529631498022
T_3155096,radical,1440,365,noNog,0.5923424814367679
T_4211578,slight,1810,280,noNog,-3.3322045101747997
T_611790,radical,8050,40,noNog,1.3217558399823202
T_9289161,competitive,5160,40,noNog,0.693147180559945
T_2710047,deep,6470,400,noNog,0.454255272277596
T_8678864,big,8910,140,noNog,0.305381649549077
T_6605231,modest,6840,305,noNog,-1.7500198630568897
T_3436294,substantial,5350,460,noNog,0.17869178874083103
T_1857101,sound,3710,355,noNog,-0.625093717314245
T_3985992,weak,8240,470,noNog,-3.8501476017091503
T_1317670,liberal,500,130,noNog,0.43078291609145397
T_8163155,narrow,4660,335,noNog,-2.125251077708
T_6084074,competitive,7810,75,noNog,0.8754687373539001
T_9192623,grand,2630,55,noNog,1.12846525181809
T_6878955,fundamental,1280,240,noNog,-1.23214368129149
T_6853480,surprising,1670,305,noNog,0.0787808778487206
T_9040925,relative,4080,485,noNog,-0.143894179660414
T_706665,firm,7030,165,noNog,0.33213383502305
T_1771975,critical,7050,475,noNog,0.926762031739992
T_9558682,vital,7180,30,noNog,0.510825623767991
T_2373018,serious,780,200,noNog,0.955511445027437
T_6987667,sizable,8930,230,noNog,0.16034265007666101
T_5478886,surprising,6540,395,noNog,0.513354070119728
T_3985992,little,1600,330,noNog,-1.19392246847343
T_4262135,comfortable,4930,410,noNog,-0.880358722649209
T_901679,big,6210,180,noNog,0.47692407208962
T_9274484,routine,7680,130,noNog,-0.16705408466298402
T_6997885,sharp,2770,400,noNog,0.6015799870344549
